TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
1/1/2019,26.4,33.8,29.5,73,-,1.3,7,340,3,NW
2/1/2019,26.8,34.8,29.2,75,0,0,4,270,2,W 
3/1/2019,25.2,31.7,27.2,86,20.5,5.9,5,340,2,C 
4/1/2019,24.8,32.1,28,82,2.6,0,4,10,2,N 
5/1/2019,25,33.4,29.7,77,0.9,4.5,4,340,2,N 
6/1/2019,26.8,35.2,30.4,76,8888,4.9,4,320,2,NW
7/1/2019,26.9,33.9,29.1,80,0,8,6,170,1,C 
8/1/2019,25.1,34.7,29.2,78,10.5,7,4,10,2,N 
9/1/2019,25.8,34.6,29.7,79,8888,7.6,3,20,1,C 
10/1/2019,27,35.4,30,75,1.5,5.9,3,350,2,N 
11/1/2019,27,35.7,30.3,74,8888,7.5,3,330,1,C 
12/1/2019,26,34.2,29.3,77,1,9.2,4,80,1,C 
13-01-2019,25.8,34.5,29.3,78,0,6.2,3,350,1,C 
14-01-2019,25.9,35.7,30.4,74,0,7,5,340,2,W 
15-01-2019,25.3,35.7,28.9,79,5.6,9.4,6,210,3,W 
16-01-2019,25.2,32.1,28,85,22.5,7.1,3,300,2,W 
17-01-2019,25,32,28.1,84,42,1,4,330,2,NW
18-01-2019,24.1,33.1,27,88,91.6,6.1,5,210,2,N 
19-01-2019,25,32.8,27.5,88,30,8.7,5,320,1,C 
20-01-2019,25.4,34.2,28.6,84,65,5.4,6,10,2,NW
21-01-2019,25.4,34.6,28.7,83,19.3,7.2,6,330,2,NW
22-01-2019,25.8,32,27.8,83,0,5.5,7,310,3,NW
23-01-2019,24.7,31.7,27.4,84,4.2,0.5,5,300,2,NW
24-01-2019,25.1,33,28.2,82,13.6,1.5,6,310,2,NW
25-01-2019,-,32,28.2,80,16,4,6,330,3,NW
26-01-2019,25.8,33,28.4,81,0,6.2,6,330,2,NW
27-01-2019,25.8,31,27.2,86,0,5.5,4,280,2,NW
28-01-2019,25,28.4,26,92,19.1,0.6,4,350,2,NW
29-01-2019,24.8,30.6,27.4,85,0.4,0,4,310,2,NW
30-01-2019,25.9,33.5,28.7,82,0,1.4,3,220,1,C 
31-01-2019,25.8,32.7,27.5,84,14.1,7.8,4,350,1,C 
1/2/2019,24.5,33.9,27.5,84,11.1,2.2,4,350,1,C 
2/2/2019,24.4,33,27.1,87,80.8,6.9,5,160,2,S 
3/2/2019,24,34.4,27.7,85,101,6.5,3,240,1,C 
4/2/2019,24.7,34.7,27.7,83,13,8.3,5,360,2,NW
5/2/2019,23.2,33.8,28.3,81,74.7,6.5,5,300,2,NW
6/2/2019,25.5,33.4,28.6,79,9.8,8.4,7,160,2,NW
7/2/2019,25,35.2,28.2,82,6.5,6.8,4,310,1,C 
8/2/2019,25.6,33.5,28.7,81,7.8,4.9,4,340,2,N 
9/2/2019,25.5,34,29.1,78,1.3,5.5,4,160,2,S 
10/2/2019,26.2,34,29.8,77,2,6.7,5,360,2,C 
11/2/2019,25.7,33,28.8,79,3,6.2,3,60,2,C 
12/2/2019,25.9,31.5,27.5,85,5.2,3.7,3,350,2,N 
13-02-2019,25.4,34.2,29.3,77,2.5,1.2,4,360,2,N 
14-02-2019,25.5,31,27.6,85,10.7,8.4,4,70,2,S 
15-02-2019,25.5,33,28.8,81,6.4,3,3,100,2,S 
16-02-2019,25.4,34.4,29,79,1.4,7.9,6,10,1,C 
17-02-2019,25.7,35.5,29.6,74,0,9.3,4,300,2,NW
18-02-2019,26.2,34.8,29.8,75,0.3,8.6,4,150,1,C 
19-02-2019,25.9,33,28.2,81,0,5.7,3,300,2,S 
20-02-2019,26,31.8,28.2,83,0,3.7,5,150,2,SE
21-02-2019,25.5,31.8,28.3,80,1.5,2.5,3,100,1,C 
22-02-2019,25.8,33,28.6,82,0,3.5,4,40,2,C 
23-02-2019,25.2,33.7,28.9,78,0,5.3,3,10,2,N 
24-02-2019,26,34.7,29.4,76,0,5.7,4,40,1,C 
25-02-2019,25.4,35.2,30,75,-,6.8,4,120,1,E 
26-02-2019,27.4,35.6,30.4,74,0,6.8,6,110,3,E 
27-02-2019,27.2,35.3,30.5,73,0,9,6,120,3,E 
28-02-2019,27.3,35.2,29.8,75,0,7.7,4,110,2,E 
1/3/2019,26.6,35,29.9,76,0,6.2,5,110,2,E 
2/3/2019,25.8,32.2,27.4,86,2.3,6.6,6,70,2,E 
3/3/2019,26,31.3,28,83,5,3,3,280,1,S 
4/3/2019,26.3,33.7,28.8,80,8888,1.5,4,110,2,S 
5/3/2019,26.6,34.8,29.7,78,0,4,5,340,2,W 
6/3/2019,24.8,31.6,27.2,84,7.7,5.9,6,310,3,NW
7/3/2019,25.2,32.5,27.2,79,1.5,0.6,4,290,2,W 
8/3/2019,25,34.4,29.3,74,0.5,1.8,3,160,2,S 
9/3/2019,25.7,35.8,28.7,76,0,8.5,4,130,2,N 
10/3/2019,25.2,35.3,28.5,78,40.1,6.8,6,350,2,NW
11/3/2019,25.3,33.2,29.3,79,1,8.5,3,70,1,N 
12/3/2019,26.5,33.2,28.8,79,0,2.6,6,330,3,NW
13-03-2019,26.3,35,28.5,78,0,3.7,6,150,2,S 
14-03-2019,24.6,34,27.9,80,17.4,7.3,3,340,1,N 
15-03-2019,25,34,28.4,79,3.2,3.2,4,180,2,NW
16-03-2019,24.8,34.2,28.3,78,16,5.8,5,350,2,NW
